ProductID,ProductName,Category,UnitCost,RetailPrice,ReorderPoint,SafetyStock
63,Insulin Glargine,Diabetes,13.68,19.08,33,46
64,Pantoprazole 40mg,Antibiotics,24.38,59.73,42,41
65,Amoxicillin 250mg,Antibiotics,2.95,7.59,35,84
66,Vitamin D3 Capsules,Vitamins,17.6,43.24,20,41
67,Azithromycin 500mg,Analgesics,7.73,13.85,18,59
68,Amoxicillin 250mg,Diabetes,39.9,59.29,18,28
69,Azithromycin 500mg,Analgesics,24.45,37.8,18,20
70,Paracetamol 500mg,Antiseptics,36.62,47.47,48,65
71,Amoxicillin 250mg,Diabetes,43.11,60.39,20,86
72,Vitamin D3 Capsules,Analgesics,24.17,36.51,34,37
73,Amoxicillin 250mg,Analgesics,14.22,23.76,15,21
74,Amoxicillin 250mg,Diabetes,27.42,40.54,49,29
75,Amoxicillin 250mg,Diabetes,5.35,9.15,23,36
76,Pantoprazole 40mg,Diabetes,38.3,57.34,43,30
77,Amoxicillin 250mg,Diabetes,8.96,14.4,38,41
78,Azithromycin 500mg,Analgesics,33.15,65.8,19,45
79,Paracetamol 500mg,Antibiotics,20.35,50.36,22,71
80,Insulin Glargine,Analgesics,14.37,20.92,35,80
81,Amoxicillin 250mg,Cardiac,15.06,26.28,36,36
82,Vitamin D3 Capsules,Vitamins,32.16,60.93,21,88
83,Amoxicillin 250mg,Antibiotics,6.65,12.94,23,22
84,Vitamin D3 Capsules,Analgesics,13.75,25.92,21,86
85,Azithromycin 500mg,Antibiotics,4.09,9.76,20,74
86,Vitamin D3 Capsules,Antibiotics,19.48,50.7,40,30
87,Insulin Glargine,Diabetes,21.45,35.05,24,98
88,Paracetamol 500mg,Vitamins,31.47,61.87,30,74
89,Vitamin D3 Capsules,Cardiac,26.79,44.01,32,98
90,Vitamin D3 Capsules,Antibiotics,28.88,67.36,18,80
91,Paracetamol 500mg,Analgesics,14.48,27.13,10,75
92,Insulin Glargine,Diabetes,35.93,58.26,37,53
93,Amoxicillin 250mg,Diabetes,13.36,20.76,50,66
94,Vitamin D3 Capsules,Vitamins,36.11,75.95,35,88
95,Paracetamol 500mg,Diabetes,22.83,36.04,14,74
96,Azithromycin 500mg,Antibiotics,4.15,13.13,40,34
97,Paracetamol 500mg,Vitamins,40.7,82.76,39,88
98,Azithromycin 500mg,Antibiotics,13.7,28.94,19,37
99,Insulin Glargine,Analgesics,26.89,50.23,25,78
100,Amoxicillin 250mg,Analgesics,34.78,59.89,49,94
101,Paracetamol 500mg,Analgesics,20.04,45.19,14,31
102,Pantoprazole 40mg,Vitamins,13.12,22.31,34,28
103,Vitamin D3 Capsules,Antibiotics,19.26,46.13,19,28
104,Insulin Glargine,Vitamins,8.92,17.4,43,27
105,Paracetamol 500mg,Cardiac,3.32,6.38,40,23
106,Vitamin D3 Capsules,Analgesics,22.08,39.59,16,92
107,Paracetamol 500mg,Antibiotics,22.89,49.06,17,99
108,Azithromycin 500mg,Diabetes,32.7,46.31,44,28
109,Paracetamol 500mg,Analgesics,14.7,26.19,19,33
110,Pantoprazole 40mg,Analgesics,26.97,45.64,46,35
111,Paracetamol 500mg,Antibiotics,22.68,49.41,43,97
112,Paracetamol 500mg,Analgesics,6.12,12.29,17,47
113,Pantoprazole 40mg,Cardiac,11.38,20.65,30,52
114,Insulin Glargine,Diabetes,41.92,60.99,38,21
115,Paracetamol 500mg,Vitamins,41.93,82.07,14,86
116,Pantoprazole 40mg,Cardiac,25.87,49.72,46,90
117,Vitamin D3 Capsules,Diabetes,23.9,38.7,37,45
118,Azithromycin 500mg,Analgesics,11.96,18.39,19,90
119,Azithromycin 500mg,Cardiac,10.94,21.5,42,34
120,Paracetamol 500mg,Vitamins,28.3,61.91,21,48
121,Insulin Glargine,Diabetes,38.31,59.15,22,52
122,Insulin Glargine,Cardiac,27.05,56.3,25,73
123,Vitamin D3 Capsules,Antibiotics,3.33,8.14,43,55
124,Paracetamol 500mg,Analgesics,17.18,32.36,16,89
125,Azithromycin 500mg,Analgesics,34.62,64.48,22,80
126,Insulin Glargine,Antibiotics,10.93,26.07,23,27
127,Paracetamol 500mg,Diabetes,34.71,54.12,27,91
128,Insulin Glargine,Cardiac,8.35,15.4,24,49
129,Pantoprazole 40mg,Analgesics,34.24,62.84,31,36
130,Insulin Glargine,Vitamins,26.61,55.73,21,23
131,Azithromycin 500mg,Antibiotics,18.15,46.69,30,28
132,Amoxicillin 250mg,Analgesics,8.96,15.07,41,43
133,Vitamin D3 Capsules,Analgesics,35.85,59.31,33,47
134,Vitamin D3 Capsules,Antibiotics,20.11,51.96,10,63
135,Azithromycin 500mg,Antiseptics,36.47,47.07,23,45
136,Insulin Glargine,Antibiotics,20.06,59.17,46,79
137,Paracetamol 500mg,Vitamins,43.77,80.04,39,60
138,Insulin Glargine,Diabetes,20.8,35.01,49,24
139,Azithromycin 500mg,Antibiotics,23.31,58.46,16,40
140,Vitamin D3 Capsules,Antiseptics,66.15,81.31,32,64
141,Insulin Glargine,Antiseptics,79.67,100.11,23,37
142,Vitamin D3 Capsules,Analgesics,15.53,29.2,45,88
143,Paracetamol 500mg,Antibiotics,21.92,44.31,14,69
144,Vitamin D3 Capsules,Antibiotics,12.27,37.07,49,37
145,Vitamin D3 Capsules,Antibiotics,10.6,25.56,37,38
146,Amoxicillin 250mg,Analgesics,5.28,8.49,47,32
147,Amoxicillin 250mg,Vitamins,40.74,76.4,44,52
148,Pantoprazole 40mg,Vitamins,9.63,19.49,12,47
149,Amoxicillin 250mg,Analgesics,30.63,52.87,37,78
150,Vitamin D3 Capsules,Analgesics,27.51,44.04,29,79
151,Azithromycin 500mg,Cardiac,4.0,8.94,26,66
152,Vitamin D3 Capsules,Analgesics,21.28,39.11,35,47
153,Azithromycin 500mg,Analgesics,26.3,50.23,19,63
154,Azithromycin 500mg,Antibiotics,19.13,40.33,49,48
155,Amoxicillin 250mg,Antiseptics,70.23,90.62,50,96
156,Insulin Glargine,Analgesics,17.58,33.0,21,81
157,Paracetamol 500mg,Vitamins,5.3,11.16,30,38
158,Amoxicillin 250mg,Diabetes,35.05,53.27,13,28
159,Amoxicillin 250mg,Analgesics,17.93,31.2,11,100
160,Insulin Glargine,Diabetes,9.07,15.05,44,46
161,Paracetamol 500mg,Antibiotics,16.41,42.46,10,65
162,Vitamin D3 Capsules,Vitamins,31.86,63.11,13,55
163,Pantoprazole 40mg,Vitamins,37.69,87.22,24,20
164,Pantoprazole 40mg,Vitamins,25.59,54.45,33,63
165,Vitamin D3 Capsules,Analgesics,18.39,31.84,30,43
166,Amoxicillin 250mg,Diabetes,15.05,26.28,44,31
167,Paracetamol 500mg,Antibiotics,3.38,8.07,20,39
168,Amoxicillin 250mg,Analgesics,5.66,9.43,27,57
169,Azithromycin 500mg,Analgesics,29.76,58.0,23,26
170,Amoxicillin 250mg,Vitamins,22.52,47.89,24,36
171,Amoxicillin 250mg,Vitamins,22.39,49.31,31,79
172,Vitamin D3 Capsules,Analgesics,10.44,17.05,12,72
173,Vitamin D3 Capsules,Vitamins,17.31,41.69,13,80
174,Vitamin D3 Capsules,Analgesics,26.95,44.77,38,63
175,Pantoprazole 40mg,Vitamins,19.4,39.75,22,90
176,Azithromycin 500mg,Analgesics,22.63,36.85,14,46
177,Vitamin D3 Capsules,Diabetes,27.72,43.3,34,62
178,Paracetamol 500mg,Antibiotics,5.78,11.69,16,66
179,Pantoprazole 40mg,Cardiac,3.84,7.55,11,54
180,Insulin Glargine,Analgesics,37.36,63.08,31,62
181,Paracetamol 500mg,Antibiotics,11.8,32.1,30,21
182,Paracetamol 500mg,Analgesics,18.75,34.16,21,80
183,Vitamin D3 Capsules,Cardiac,28.43,57.77,16,46
184,Insulin Glargine,Cardiac,28.05,58.84,49,52
185,Insulin Glargine,Analgesics,11.85,18.41,21,79
186,Pantoprazole 40mg,Vitamins,8.65,17.35,13,22
187,Insulin Glargine,Diabetes,7.58,11.56,18,79
188,Azithromycin 500mg,Vitamins,7.08,14.91,49,97
189,Vitamin D3 Capsules,Vitamins,33.83,78.22,17,82
190,Insulin Glargine,Analgesics,30.46,55.53,28,31
191,Pantoprazole 40mg,Analgesics,8.1,13.76,47,44
192,Azithromycin 500mg,Cardiac,20.25,40.61,23,29
193,Amoxicillin 250mg,Cardiac,21.02,46.44,46,49
194,Amoxicillin 250mg,Vitamins,15.38,32.16,38,55
195,Azithromycin 500mg,Antibiotics,19.74,55.4,28,63
196,Pantoprazole 40mg,Antibiotics,37.22,70.81,11,90
197,Azithromycin 500mg,Diabetes,18.59,27.17,44,97
198,Vitamin D3 Capsules,Cardiac,13.16,24.8,38,24
199,Vitamin D3 Capsules,Cardiac,28.7,53.21,43,54
200,Amoxicillin 250mg,Diabetes,32.83,48.49,27,62
201,Povidone Iodine,Vitamins,27.65,49.35,27,131
202,Vildagliptin 50mg,Analgesics,48.47,81.41,60,71
203,Vitamin K2,Analgesics,138.55,299.32,90,75
204,Cefixime 200mg,Cardiac,17.11,28.78,48,147
205,Amlodipine 5mg,Vitamins,49.62,119.09,88,128
206,Metformin 500mg,Analgesics,145.86,259.55,80,23
207,Chlorhexidine,Analgesics,45.17,65.27,87,64
208,Amoxicillin 500mg,Vitamins,94.18,182.05,38,142
209,Diclofenac 50mg,Analgesics,192.43,317.49,18,100
210,Metronidazole 400mg,Analgesics,194.22,327.49,32,141
211,Diclofenac 50mg,Vitamins,11.37,23.62,83,63
212,Insulin Glargine,Diabetes,25.61,36.12,21,135
213,Pioglitazone 15mg,Vitamins,211.51,395.53,96,148
214,Insulin Glargine,Analgesics,84.73,129.17,81,45
215,Pioglitazone 15mg,Diabetes,77.26,126.9,75,31
216,Ketorolac 10mg,Analgesics,190.17,363.31,43,124
217,Zinc 20mg,Antibiotics,10.75,26.99,84,35
218,Doxycycline 100mg,Diabetes,188.21,267.41,82,95
219,Paracetamol 650mg,Vitamins,157.74,343.65,53,38
220,Amlodipine 5mg,Cardiac,39.85,84.07,66,47
221,Tramadol 50mg,Vitamins,166.72,352.95,21,85
222,Metronidazole 400mg,Vitamins,107.37,293.87,25,34
223,Ketorolac 10mg,Analgesics,80.77,135.27,93,127
224,Biotin 10mg,Antibiotics,174.06,378.84,100,45
225,Folic Acid 5mg,Analgesics,188.26,316.2,16,136
226,Folic Acid 5mg,Analgesics,113.5,179.23,91,45
227,Diclofenac 50mg,Antiseptics,251.72,331.71,82,135
228,Metoprolol 25mg,Antibiotics,138.76,314.74,98,21
229,Zinc 20mg,Cardiac,150.96,297.26,81,124
230,Bisoprolol 5mg,Vitamins,100.44,237.24,52,56
231,Boroline Cream,Diabetes,133.08,192.79,10,58
232,Insulin Glargine,Vitamins,71.44,141.76,84,27
233,Clindamycin 300mg,Vitamins,238.03,491.56,98,58
234,Hydrogen Peroxide,Antibiotics,40.33,118.93,69,118
235,Metronidazole 400mg,Analgesics,9.39,14.68,53,142
236,Ramipril 5mg,Diabetes,233.16,371.95,72,143
237,Ketorolac 10mg,Antibiotics,128.13,379.1,10,125
238,Metoprolol 25mg,Analgesics,146.64,252.91,24,84
239,Biotin 10mg,Vitamins,266.17,523.45,51,90
240,Povidone Iodine,Analgesics,151.82,278.83,52,95
241,Ciprofloxacin 500mg,Antiseptics,54.12,72.38,79,77
242,Hydrogen Peroxide,Antiseptics,344.32,438.22,52,85
243,Metoprolol 25mg,Cardiac,16.43,27.68,62,102
244,Losartan 50mg,Antibiotics,188.37,402.03,37,64
245,Cefixime 200mg,Analgesics,73.1,134.63,82,112
246,Cefixime 200mg,Cardiac,9.39,18.96,28,61
247,Metronidazole 400mg,Antibiotics,161.62,325.26,69,101
248,Vitamin E 400mg,Antiseptics,175.26,215.29,97,126
249,Levofloxacin 500mg,Antiseptics,414.8,522.38,24,89
250,Metoprolol 25mg,Cardiac,19.34,32.76,99,88
251,Biotin 10mg,Antibiotics,154.05,416.6,29,95
252,Celecoxib 100mg,Antibiotics,24.45,51.49,41,139
253,Dettol Antiseptic,Cardiac,135.95,246.71,79,119
254,Tramadol 50mg,Antibiotics,62.66,163.63,58,46
255,Boroline Cream,Analgesics,124.56,221.83,44,144
256,Losartan 50mg,Vitamins,220.35,471.45,40,48
257,Naproxen 500mg,Cardiac,43.71,79.22,97,82
258,Metronidazole 400mg,Diabetes,222.48,373.24,87,28
259,Levofloxacin 500mg,Vitamins,118.71,332.78,18,27
260,Dapagliflozin 10mg,Analgesics,149.72,248.91,89,79
261,Ketorolac 10mg,Vitamins,163.79,522.05,78,113
262,Aspirin 75mg,Antiseptics,250.15,338.89,80,67
263,Bisoprolol 5mg,Analgesics,198.95,379.88,86,32
264,Losartan 50mg,Vitamins,95.06,270.84,14,143
265,Amoxicillin 500mg,Cardiac,114.73,244.33,51,57
266,Silver Sulfadiazine,Diabetes,76.03,134.99,12,45
267,Boroline Cream,Diabetes,170.16,298.54,59,28
268,Silver Sulfadiazine,Diabetes,25.68,40.74,49,39
269,Aspirin 75mg,Antibiotics,87.26,186.13,73,57
270,Povidone Iodine,Antibiotics,133.89,406.24,57,124
271,Amoxicillin 500mg,Diabetes,33.13,51.36,99,52
272,Savlon Solution,Diabetes,48.57,83.61,62,30
273,Atorvastatin 10mg,Cardiac,27.61,57.34,65,73
274,Celecoxib 100mg,Cardiac,75.42,150.35,71,88
275,Losartan 50mg,Vitamins,81.11,184.31,14,99
276,Insulin Glargine,Vitamins,70.93,119.29,53,97
277,Glimepiride 1mg,Diabetes,236.06,364.96,51,110
278,Celecoxib 100mg,Vitamins,38.77,62.78,74,62
279,Doxycycline 100mg,Diabetes,93.66,164.85,56,61
280,Betadine Ointment,Diabetes,136.41,241.74,72,95
281,Naproxen 500mg,Cardiac,204.84,331.68,49,39
282,Clopidogrel 75mg,Antibiotics,106.46,237.23,97,20
283,Clopidogrel 75mg,Antibiotics,55.12,145.51,97,46
284,Pioglitazone 15mg,Analgesics,164.04,291.31,38,141
285,Vildagliptin 50mg,Vitamins,16.78,34.29,86,110
286,Metformin 500mg,Analgesics,74.72,124.13,77,119
287,Tramadol 50mg,Antibiotics,114.54,244.91,11,48
288,Dettol Antiseptic,Vitamins,145.82,288.04,23,81
289,Vitamin K2,Antibiotics,55.4,134.13,22,143
290,Cefixime 200mg,Vitamins,117.37,247.33,88,145
291,Naproxen 500mg,Analgesics,133.69,211.49,88,76
292,Nitrofurantoin 100mg,Analgesics,228.62,366.71,48,116
293,Betadine Ointment,Diabetes,49.31,78.51,52,88
294,Ramipril 5mg,Antibiotics,15.87,36.31,65,89
295,Doxycycline 100mg,Analgesics,162.3,272.29,91,150
296,Tramadol 50mg,Vitamins,233.8,469.73,70,83
297,Ketorolac 10mg,Diabetes,206.32,337.84,75,143
298,Sitagliptin 50mg,Analgesics,58.34,89.45,83,76
299,Clindamycin 300mg,Vitamins,198.85,417.36,96,37
300,Zinc 20mg,Analgesics,65.98,108.61,56,101
301,Ciprofloxacin 500mg,Analgesics,186.4,349.01,80,108
302,Savlon Solution,Vitamins,27.31,68.29,94,92
303,Chlorhexidine,Vitamins,243.47,467.0,98,127
304,Ibuprofen 400mg,Vitamins,201.12,361.55,56,31
305,Metoprolol 25mg,Diabetes,103.61,177.1,74,146
306,Savlon Solution,Antiseptics,124.36,155.29,68,21
307,Amoxicillin 500mg,Vitamins,211.18,463.56,90,86
308,Ciprofloxacin 500mg,Antibiotics,37.86,95.19,92,43
309,Atorvastatin 10mg,Diabetes,245.3,329.62,24,38
310,Losartan 50mg,Analgesics,214.51,321.12,92,50
311,Losartan 50mg,Antibiotics,109.74,339.7,20,125
312,Vitamin E 400mg,Analgesics,88.26,137.64,97,101
313,Savlon Solution,Analgesics,196.81,320.81,36,128
314,Ramipril 5mg,Antiseptics,37.01,47.49,100,61
315,Paracetamol 650mg,Diabetes,243.75,322.48,58,123
316,Nitrofurantoin 100mg,Diabetes,188.81,275.51,55,52
317,Vitamin B12,Antibiotics,31.18,70.3,62,45
318,Aspirin 75mg,Analgesics,204.9,323.77,74,104
319,Nitrofurantoin 100mg,Analgesics,30.65,52.37,61,99
320,Metoprolol 25mg,Analgesics,207.65,391.27,55,114
321,Celecoxib 100mg,Vitamins,259.21,488.64,86,123
322,Metoprolol 25mg,Diabetes,19.5,31.62,52,42
323,Bisoprolol 5mg,Vitamins,202.63,417.15,62,114
324,Ibuprofen 400mg,Analgesics,149.4,270.52,78,88
325,Nitrofurantoin 100mg,Antiseptics,463.52,629.62,94,78
326,Vitamin B12,Diabetes,125.62,194.61,31,76
327,Folic Acid 5mg,Vitamins,204.91,395.13,46,28
328,Vitamin K2,Vitamins,110.76,225.96,32,96
329,Ramipril 5mg,Antibiotics,146.74,323.29,20,68
330,Nitrofurantoin 100mg,Analgesics,20.88,36.31,55,47
331,Losartan 50mg,Antibiotics,95.94,218.91,54,103
332,Diclofenac 50mg,Diabetes,154.61,226.39,50,143
333,Boroline Cream,Analgesics,211.34,323.33,22,40
334,Losartan 50mg,Analgesics,146.5,250.76,29,76
335,Atorvastatin 10mg,Analgesics,23.78,41.13,17,79
336,Vitamin B12,Analgesics,179.61,278.33,76,124
337,Paracetamol 650mg,Cardiac,130.62,248.59,32,96
338,Doxycycline 100mg,Diabetes,178.5,238.34,45,96
339,Ciprofloxacin 500mg,Antibiotics,46.01,126.77,62,142
340,Hydrogen Peroxide,Analgesics,103.62,158.72,91,143
341,Bisoprolol 5mg,Antibiotics,14.8,34.71,12,114
342,Rosuvastatin 5mg,Antibiotics,93.93,284.1,11,93
343,Vitamin B12,Analgesics,51.54,90.95,59,31
344,Losartan 50mg,Antibiotics,43.71,89.04,45,23
345,Glimepiride 1mg,Antibiotics,25.74,68.71,44,77
346,Biotin 10mg,Vitamins,93.86,207.55,72,108
347,Pioglitazone 15mg,Vitamins,109.7,254.69,32,129
348,Losartan 50mg,Analgesics,207.65,366.03,39,137
349,Ramipril 5mg,Antibiotics,108.25,301.91,13,115
350,Clopidogrel 75mg,Vitamins,216.88,424.47,27,143
351,Clopidogrel 75mg,Vitamins,38.81,88.78,33,114
352,Ibuprofen 400mg,Cardiac,204.72,347.11,65,131
353,Sitagliptin 50mg,Vitamins,33.14,65.55,92,103
354,Levofloxacin 500mg,Analgesics,184.6,297.89,23,24
355,Metformin 500mg,Analgesics,187.93,340.08,38,104
356,Savlon Solution,Vitamins,16.42,29.55,83,132
357,Ramipril 5mg,Analgesics,143.61,255.25,20,74
358,Tramadol 50mg,Vitamins,62.28,147.29,60,130
359,Vitamin C 500mg,Antiseptics,444.77,543.89,73,91
360,Povidone Iodine,Vitamins,143.59,265.42,40,84
361,Ciprofloxacin 500mg,Antibiotics,161.64,378.33,99,117
362,Cefixime 200mg,Vitamins,200.23,391.31,75,122
363,Hydrogen Peroxide,Antibiotics,25.66,70.47,10,143
364,Doxycycline 100mg,Vitamins,249.77,489.71,33,41
365,Nitrofurantoin 100mg,Antiseptics,50.87,66.42,78,113
366,Amlodipine 5mg,Antibiotics,11.0,26.74,62,31
367,Povidone Iodine,Antiseptics,138.2,188.16,56,143
368,Sitagliptin 50mg,Cardiac,9.37,18.88,15,50
369,Silver Sulfadiazine,Analgesics,74.75,111.47,41,41
370,Vitamin B12,Analgesics,93.21,178.16,59,50
371,Multivitamin,Analgesics,179.91,314.77,35,50
372,Vitamin C 500mg,Analgesics,217.03,382.17,62,112
373,Nitrofurantoin 100mg,Analgesics,38.26,70.53,38,115
374,Amlodipine 5mg,Diabetes,92.37,125.28,10,130
375,Betadine Ointment,Analgesics,106.41,176.95,100,83
376,Ciprofloxacin 500mg,Antibiotics,125.47,402.3,86,41
377,Ketorolac 10mg,Cardiac,138.07,293.07,93,113
378,Rosuvastatin 5mg,Analgesics,87.89,159.61,47,58
379,Empagliflozin 10mg,Diabetes,209.31,325.41,97,137
380,Vitamin E 400mg,Antibiotics,33.81,82.91,84,122
381,Metoprolol 25mg,Analgesics,37.11,54.87,51,121
382,Chlorhexidine,Diabetes,64.46,111.86,76,129
383,Cefixime 200mg,Vitamins,178.93,336.76,75,102
384,Zinc 20mg,Cardiac,172.0,332.5,38,107
385,Ibuprofen 400mg,Diabetes,147.53,233.72,35,62
386,Multivitamin,Diabetes,214.27,317.04,23,140
387,Clindamycin 300mg,Antibiotics,183.2,413.77,87,69
388,Multivitamin,Analgesics,68.46,105.12,31,44
389,Povidone Iodine,Diabetes,118.09,167.88,79,29
390,Metformin 500mg,Diabetes,203.7,339.78,10,44
391,Ciprofloxacin 500mg,Antiseptics,192.22,240.49,55,138
392,Metronidazole 400mg,Antibiotics,95.45,237.34,100,50
393,Insulin Glargine,Antibiotics,10.14,19.39,32,131
394,Metronidazole 400mg,Diabetes,104.66,157.1,68,37
395,Folic Acid 5mg,Antibiotics,186.36,399.03,10,25
396,Tramadol 50mg,Cardiac,46.15,97.49,26,100
397,Betadine Ointment,Cardiac,34.52,58.65,44,79
398,Vitamin K2,Antibiotics,75.24,188.31,48,113
399,Amoxicillin 500mg,Diabetes,256.12,360.04,74,65
400,Ramipril 5mg,Diabetes,9.04,16.67,73,52
401,Levofloxacin 500mg,Analgesics,92.71,166.73,28,89
402,Metronidazole 400mg,Cardiac,170.45,338.13,100,40
403,Diclofenac 50mg,Vitamins,16.2,32.8,70,137
404,Clindamycin 300mg,Diabetes,21.8,31.18,50,112
405,Sitagliptin 50mg,Antibiotics,125.78,336.0,18,46
406,Dapagliflozin 10mg,Cardiac,20.45,47.57,69,92
407,Savlon Solution,Antibiotics,57.37,150.81,67,56
408,Atorvastatin 10mg,Analgesics,131.31,219.69,64,147
409,Nitrofurantoin 100mg,Cardiac,20.33,33.72,57,120
410,Aspirin 75mg,Analgesics,131.05,200.0,29,27
411,Boroline Cream,Antibiotics,179.23,410.21,55,29
412,Silver Sulfadiazine,Antiseptics,171.92,223.09,18,90
413,Celecoxib 100mg,Antiseptics,179.85,243.64,50,58
414,Dapagliflozin 10mg,Vitamins,31.35,57.29,86,121
415,Folic Acid 5mg,Vitamins,194.33,392.75,70,50
416,Ketorolac 10mg,Antibiotics,63.73,171.03,34,42
417,Clindamycin 300mg,Antibiotics,45.72,105.83,37,27
418,Dettol Antiseptic,Antibiotics,108.17,287.46,54,122
419,Metformin 500mg,Vitamins,226.56,456.64,13,103
420,Tramadol 50mg,Diabetes,20.91,30.44,69,86
421,Ketorolac 10mg,Diabetes,162.28,259.29,94,75
422,Ciprofloxacin 500mg,Diabetes,160.8,242.52,26,112
423,Metformin 500mg,Analgesics,77.77,154.05,20,137
424,Rosuvastatin 5mg,Antibiotics,95.32,250.36,68,77
425,Ibuprofen 400mg,Analgesics,62.5,113.92,32,63
426,Folic Acid 5mg,Vitamins,75.27,202.93,48,147
427,Paracetamol 650mg,Antibiotics,103.28,259.33,13,74
428,Clopidogrel 75mg,Cardiac,173.94,363.28,78,39
429,Cefixime 200mg,Antibiotics,17.91,33.61,21,66
430,Sitagliptin 50mg,Analgesics,206.26,315.65,42,146
431,Celecoxib 100mg,Analgesics,116.07,175.65,81,130
432,Biotin 10mg,Diabetes,235.8,370.31,22,129
433,Vitamin C 500mg,Vitamins,8.54,21.42,87,108
434,Betadine Ointment,Analgesics,147.81,288.04,21,119
435,Biotin 10mg,Analgesics,126.97,230.13,81,59
436,Sitagliptin 50mg,Diabetes,21.82,39.86,49,131
437,Savlon Solution,Analgesics,27.54,53.81,55,88
438,Ramipril 5mg,Diabetes,103.69,151.74,87,98
439,Insulin Glargine,Diabetes,182.3,245.69,72,106
440,Zinc 20mg,Analgesics,22.96,36.79,13,131
441,Clopidogrel 75mg,Analgesics,47.86,90.41,44,131
442,Nitrofurantoin 100mg,Antiseptics,107.2,132.67,28,22
443,Clopidogrel 75mg,Antibiotics,12.36,32.7,87,123
444,Betadine Ointment,Antibiotics,138.48,306.34,32,52
445,Sitagliptin 50mg,Diabetes,223.75,355.17,23,49
