StockID,Store_ID,ProductID,BatchNumber,ExpiryDate,QuantityOnHand,SupplierID,DaysToExpiry,ExpiryStatus
115,HYD001,23,BATCH_115,04/10/2028,9,71,706,Valid
116,HYD005,158,BATCH_116,03/13/2027,117,138,312,Valid
117,HYD002,147,BATCH_117,12/13/2027,123,193,587,Valid
118,HYD003,43,BATCH_118,09/02/2026,61,199,120,Valid
119,HYD001,58,BATCH_119,03/23/2026,197,145,-43,Expired
120,HYD002,139,BATCH_120,02/05/2026,12,117,-89,Expired
121,HYD002,94,BATCH_121,10/25/2027,139,134,538,Valid
122,HYD004,78,BATCH_122,06/02/2026,97,58,28,Expiring Soon
123,HYD005,100,BATCH_123,02/29/2028,100,23,665,Valid
124,HYD003,88,BATCH_124,11/18/2026,193,96,197,Valid
125,HYD001,7,BATCH_125,06/05/2027,55,146,396,Valid
126,HYD004,150,BATCH_126,05/23/2026,2,58,18,Expiring Soon
127,HYD005,72,BATCH_127,04/26/2026,23,66,-9,Expired
128,HYD004,150,BATCH_128,03/26/2026,35,200,-40,Expired
129,HYD005,123,BATCH_129,11/06/2026,62,50,185,Valid
130,HYD005,9,BATCH_130,10/23/2026,105,178,171,Valid
131,HYD003,41,BATCH_131,04/19/2026,109,24,-16,Expired
132,HYD005,31,BATCH_132,02/03/2027,9,198,274,Valid
133,HYD004,84,BATCH_133,09/17/2026,187,160,135,Valid
134,HYD005,55,BATCH_134,12/29/2026,129,88,238,Valid
135,HYD003,146,BATCH_135,03/04/2027,31,146,303,Valid
136,HYD003,198,BATCH_136,09/07/2026,177,108,125,Valid
137,HYD004,97,BATCH_137,03/05/2027,44,51,304,Valid
138,HYD002,144,BATCH_138,04/15/2028,91,107,711,Valid
139,HYD002,125,BATCH_139,04/17/2027,149,75,347,Valid
140,HYD005,6,BATCH_140,07/24/2027,126,23,445,Valid
141,HYD001,8,BATCH_141,05/04/2028,46,64,730,Valid
142,HYD005,161,BATCH_142,07/05/2026,106,90,61,Valid
143,HYD004,122,BATCH_143,05/23/2027,77,5,383,Valid
144,HYD004,69,BATCH_144,01/12/2027,83,15,252,Valid
145,HYD004,3,BATCH_145,07/18/2027,185,104,439,Valid
146,HYD004,54,BATCH_146,06/02/2026,15,157,28,Expiring Soon
147,HYD004,23,BATCH_147,03/27/2027,40,159,326,Valid
148,HYD003,115,BATCH_148,04/04/2027,36,116,334,Valid
149,HYD002,28,BATCH_149,01/22/2027,136,189,262,Valid
150,HYD004,2,BATCH_150,04/22/2026,129,188,-13,Expired
151,HYD001,55,BATCH_151,05/27/2026,11,43,22,Expiring Soon
152,HYD001,30,BATCH_152,03/09/2028,123,141,674,Valid
153,HYD001,156,BATCH_153,06/09/2026,175,161,35,Valid
154,HYD001,72,BATCH_154,03/06/2027,62,169,305,Valid
155,HYD003,147,BATCH_155,04/06/2026,60,108,-29,Expired
156,HYD001,122,BATCH_156,09/26/2027,169,73,509,Valid
157,HYD004,37,BATCH_157,09/15/2027,20,23,498,Valid
158,HYD005,74,BATCH_158,06/27/2026,165,154,53,Valid
159,HYD001,72,BATCH_159,05/21/2026,158,27,16,Expiring Soon
160,HYD003,61,BATCH_160,04/01/2027,22,81,331,Valid
161,HYD003,134,BATCH_161,01/20/2028,60,118,625,Valid
162,HYD001,155,BATCH_162,10/29/2027,179,50,542,Valid
163,HYD005,137,BATCH_163,10/14/2027,124,189,527,Valid
164,HYD001,54,BATCH_164,09/06/2027,5,17,489,Valid
165,HYD003,127,BATCH_165,06/19/2027,184,88,410,Valid
166,HYD002,194,BATCH_166,01/22/2027,42,129,262,Valid
167,HYD004,111,BATCH_167,06/30/2026,79,53,56,Valid
168,HYD003,198,BATCH_168,04/30/2027,122,126,360,Valid
169,HYD001,27,BATCH_169,10/19/2026,173,12,167,Valid
170,HYD004,196,BATCH_170,11/14/2026,152,12,193,Valid
171,HYD001,77,BATCH_171,08/10/2026,33,166,97,Valid
172,HYD001,176,BATCH_172,12/03/2027,195,149,577,Valid
173,HYD002,122,BATCH_173,10/23/2027,102,166,536,Valid
174,HYD004,183,BATCH_174,12/29/2027,7,88,603,Valid
175,HYD004,102,BATCH_175,02/24/2028,104,173,660,Valid
176,HYD002,120,BATCH_176,11/09/2026,29,187,188,Valid
177,HYD003,102,BATCH_177,10/28/2026,123,166,176,Valid
178,HYD001,115,BATCH_178,08/17/2026,132,20,104,Valid
179,HYD005,185,BATCH_179,06/16/2026,112,120,42,Valid
180,HYD001,190,BATCH_180,03/20/2027,181,51,319,Valid
181,HYD001,6,BATCH_181,12/29/2027,183,23,603,Valid
182,HYD003,10,BATCH_182,02/18/2027,135,156,289,Valid
183,HYD001,42,BATCH_183,06/01/2026,47,55,27,Expiring Soon
184,HYD002,7,BATCH_184,02/22/2028,58,136,658,Valid
185,HYD002,5,BATCH_185,04/20/2026,46,1,-15,Expired
186,HYD004,79,BATCH_186,03/17/2028,31,63,682,Valid
187,HYD005,3,BATCH_187,01/31/2028,101,21,636,Valid
188,HYD001,78,BATCH_188,07/28/2027,179,164,449,Valid
189,HYD001,17,BATCH_189,02/22/2028,72,17,658,Valid
190,HYD003,26,BATCH_190,12/23/2026,95,160,232,Valid
191,HYD002,56,BATCH_191,07/02/2027,115,80,423,Valid
192,HYD005,148,BATCH_192,07/18/2026,83,132,74,Valid
193,HYD004,34,BATCH_193,09/16/2027,71,192,499,Valid
194,HYD002,169,BATCH_194,10/30/2026,170,137,178,Valid
195,HYD004,140,BATCH_195,11/29/2026,135,6,208,Valid
196,HYD003,30,BATCH_196,10/05/2027,8,45,518,Valid
197,HYD003,62,BATCH_197,11/23/2026,32,185,202,Valid
198,HYD001,161,BATCH_198,10/15/2027,199,79,528,Valid
199,HYD005,89,BATCH_199,09/06/2026,128,22,124,Valid
200,HYD004,14,BATCH_200,06/01/2026,63,39,27,Expiring Soon
201,HYD001,7,BATCH_201,08/14/2026,62,58,101,Valid
202,HYD002,189,BATCH_202,12/20/2027,173,190,594,Valid
203,HYD005,23,BATCH_203,03/11/2026,8,8,-55,Expired
204,HYD001,56,BATCH_204,07/01/2027,129,155,422,Valid
205,HYD001,144,BATCH_205,02/16/2028,183,167,652,Valid
206,HYD005,108,BATCH_206,03/09/2028,114,151,674,Valid
207,HYD003,2,BATCH_207,08/21/2027,178,109,473,Valid
208,HYD003,72,BATCH_208,11/14/2026,55,196,193,Valid
209,HYD003,27,BATCH_209,12/11/2026,97,25,220,Valid
210,HYD003,89,BATCH_210,06/11/2026,11,187,37,Valid
211,HYD004,138,BATCH_211,03/11/2027,96,21,310,Valid
212,HYD005,76,BATCH_212,04/07/2027,147,50,337,Valid
213,HYD001,12,BATCH_213,11/27/2027,197,75,571,Valid
214,HYD001,60,BATCH_214,10/29/2027,97,72,542,Valid
215,HYD004,163,BATCH_215,06/22/2027,41,95,413,Valid
216,HYD003,54,BATCH_216,05/16/2027,179,175,376,Valid
217,HYD001,156,BATCH_217,05/23/2026,136,187,18,Expiring Soon
218,HYD002,42,BATCH_218,01/01/2028,97,70,606,Valid
219,HYD005,57,BATCH_219,05/28/2026,196,199,23,Expiring Soon
220,HYD001,59,BATCH_220,08/31/2027,80,103,483,Valid
221,HYD003,17,BATCH_221,05/31/2027,145,184,391,Valid
222,HYD003,55,BATCH_222,07/30/2026,101,165,86,Valid
223,HYD004,37,BATCH_223,09/02/2027,35,64,485,Valid
224,HYD005,138,BATCH_224,04/28/2027,191,150,358,Valid
225,HYD004,150,BATCH_225,04/30/2027,92,57,360,Valid
226,HYD002,131,BATCH_226,06/25/2027,23,194,416,Valid
227,HYD001,29,BATCH_227,06/23/2026,160,41,49,Valid
228,HYD004,153,BATCH_228,01/08/2028,98,98,613,Valid
229,HYD005,120,BATCH_229,02/07/2027,64,142,278,Valid
230,HYD001,175,BATCH_230,04/06/2027,174,138,336,Valid
231,HYD003,197,BATCH_231,04/17/2026,28,76,-18,Expired
232,HYD004,41,BATCH_232,04/04/2026,0,185,-31,Expired
233,HYD003,129,BATCH_233,03/16/2028,129,28,681,Valid
234,HYD003,164,BATCH_234,04/16/2028,155,51,712,Valid
235,HYD002,96,BATCH_235,09/29/2027,138,200,512,Valid
236,HYD005,1,BATCH_236,02/24/2026,125,5,-70,Expired
237,HYD001,93,BATCH_237,06/19/2026,61,15,45,Valid
238,HYD002,146,BATCH_238,01/16/2027,21,188,256,Valid
239,HYD004,18,BATCH_239,03/04/2028,196,33,669,Valid
240,HYD002,169,BATCH_240,01/15/2027,140,43,255,Valid
241,HYD003,136,BATCH_241,08/12/2026,54,139,99,Valid
242,HYD002,183,BATCH_242,09/05/2027,102,172,488,Valid
243,HYD003,113,BATCH_243,04/30/2027,115,31,360,Valid
244,HYD002,58,BATCH_244,03/03/2028,86,6,668,Valid
245,HYD005,142,BATCH_245,04/10/2027,150,57,340,Valid
246,HYD001,19,BATCH_246,11/28/2027,58,18,572,Valid
247,HYD001,85,BATCH_247,04/17/2028,131,61,713,Valid
248,HYD003,172,BATCH_248,05/06/2026,54,139,1,Expiring Soon
249,HYD002,186,BATCH_249,05/12/2026,62,122,7,Expiring Soon
250,HYD004,49,BATCH_250,06/15/2026,24,169,41,Valid
251,HYD004,91,BATCH_251,02/19/2027,105,120,290,Valid
252,HYD001,173,BATCH_252,05/15/2026,15,104,10,Expiring Soon
253,HYD003,28,BATCH_253,02/27/2028,49,49,663,Valid
254,HYD005,115,BATCH_254,08/10/2026,108,47,97,Valid
255,HYD003,119,BATCH_255,10/09/2027,19,114,522,Valid
256,HYD005,26,BATCH_256,07/15/2026,166,139,71,Valid
257,HYD001,24,BATCH_257,03/14/2028,42,105,679,Valid
258,HYD004,124,BATCH_258,04/18/2026,102,16,-17,Expired
259,HYD002,98,BATCH_259,10/09/2026,99,68,157,Valid
260,HYD004,74,BATCH_260,08/01/2027,178,188,453,Valid
261,HYD005,170,BATCH_261,09/19/2026,39,49,137,Valid
262,HYD003,56,BATCH_262,07/11/2027,148,189,432,Valid
263,HYD005,16,BATCH_263,10/31/2026,14,13,179,Valid
264,HYD005,123,BATCH_264,07/19/2026,135,41,75,Valid
265,HYD001,131,BATCH_265,08/21/2027,47,18,473,Valid
266,HYD005,18,BATCH_266,12/01/2026,103,31,210,Valid
267,HYD005,64,BATCH_267,11/19/2027,158,21,563,Valid
268,HYD004,169,BATCH_268,05/18/2027,80,67,378,Valid
269,HYD002,172,BATCH_269,10/22/2027,61,68,535,Valid
270,HYD004,34,BATCH_270,04/25/2026,117,81,-10,Expired
271,HYD001,3,BATCH_271,06/05/2026,159,145,31,Valid
272,HYD001,19,BATCH_272,12/19/2026,129,68,228,Valid
273,HYD002,90,BATCH_273,10/24/2026,62,95,172,Valid
274,HYD003,41,BATCH_274,02/28/2026,139,181,-66,Expired
275,HYD003,157,BATCH_275,12/09/2027,2,171,583,Valid
276,HYD005,77,BATCH_276,10/24/2026,34,68,172,Valid
277,HYD001,28,BATCH_277,08/06/2026,69,73,93,Valid
278,HYD005,54,BATCH_278,12/17/2026,52,176,226,Valid
279,HYD003,130,BATCH_279,11/16/2027,64,14,560,Valid
280,HYD001,163,BATCH_280,07/23/2027,70,12,444,Valid
281,HYD001,86,BATCH_281,08/22/2026,163,68,109,Valid
282,HYD002,190,BATCH_282,06/05/2026,141,181,31,Valid
283,HYD004,144,BATCH_283,09/15/2027,28,20,498,Valid
284,HYD002,140,BATCH_284,07/21/2026,94,150,77,Valid
285,HYD005,38,BATCH_285,04/02/2028,32,11,698,Valid
286,HYD003,94,BATCH_286,04/02/2026,91,54,-33,Expired
287,HYD002,171,BATCH_287,05/18/2026,90,200,13,Expiring Soon
288,HYD005,105,BATCH_288,07/27/2027,60,42,448,Valid
289,HYD002,106,BATCH_289,05/20/2026,45,189,15,Expiring Soon
290,HYD003,106,BATCH_290,04/09/2026,68,41,-26,Expired
291,HYD001,98,BATCH_291,02/21/2026,120,57,-73,Expired
292,HYD002,118,BATCH_292,04/20/2026,78,59,-15,Expired
293,HYD002,7,BATCH_293,04/30/2028,102,85,726,Valid
294,HYD003,18,BATCH_294,09/16/2027,89,165,499,Valid
295,HYD005,103,BATCH_295,02/09/2026,7,30,-85,Expired
296,HYD003,46,BATCH_296,03/20/2028,9,28,685,Valid
297,HYD005,112,BATCH_297,02/26/2028,186,81,662,Valid
298,HYD004,156,BATCH_298,09/17/2026,29,99,135,Valid
299,HYD005,49,BATCH_299,05/11/2026,11,182,6,Expiring Soon
300,HYD004,1,BATCH_300,03/29/2026,137,176,-37,Expired
301,HYD002,94,BATCH_301,05/08/2026,17,171,3,Expiring Soon
302,HYD003,160,BATCH_302,12/04/2027,169,32,578,Valid
303,HYD003,130,BATCH_303,01/25/2027,170,105,265,Valid
304,HYD003,104,BATCH_304,12/23/2026,141,33,232,Valid
305,HYD002,108,BATCH_305,08/01/2027,173,192,453,Valid
306,HYD002,158,BATCH_306,02/09/2028,103,141,645,Valid
307,HYD001,78,BATCH_307,05/17/2026,53,111,12,Expiring Soon
308,HYD005,156,BATCH_308,05/25/2026,119,114,20,Expiring Soon
309,HYD004,173,BATCH_309,09/22/2026,130,122,140,Valid
310,HYD002,169,BATCH_310,10/02/2026,72,132,150,Valid
311,HYD005,86,BATCH_311,03/07/2027,192,61,306,Valid
312,HYD003,58,BATCH_312,07/31/2026,37,7,87,Valid
313,HYD001,63,BATCH_313,05/22/2026,156,197,17,Expiring Soon
314,HYD001,117,BATCH_314,12/12/2026,161,148,221,Valid
315,HYD002,184,BATCH_315,01/17/2027,126,103,257,Valid
316,HYD002,38,BATCH_316,03/26/2026,192,198,-40,Expired
317,HYD001,200,BATCH_317,01/22/2028,56,46,627,Valid
318,HYD005,119,BATCH_318,03/04/2027,142,64,303,Valid
319,HYD001,117,BATCH_319,02/02/2027,118,171,273,Valid
320,HYD005,144,BATCH_320,05/31/2026,193,114,26,Expiring Soon
321,HYD005,185,BATCH_321,02/14/2027,109,141,285,Valid
322,HYD004,41,BATCH_322,12/20/2027,115,67,594,Valid
323,HYD002,164,BATCH_323,08/12/2026,196,200,99,Valid
324,HYD005,125,BATCH_324,09/14/2026,70,113,132,Valid
325,HYD001,183,BATCH_325,12/28/2026,60,70,237,Valid
326,HYD003,82,BATCH_326,05/29/2026,35,39,24,Expiring Soon
327,HYD002,99,BATCH_327,06/21/2026,180,55,47,Valid
328,HYD001,107,BATCH_328,08/01/2026,84,139,88,Valid
329,HYD004,107,BATCH_329,12/04/2027,52,108,578,Valid
330,HYD004,198,BATCH_330,01/22/2027,195,148,262,Valid
331,HYD004,123,BATCH_331,11/02/2027,90,77,546,Valid
332,HYD004,108,BATCH_332,02/27/2027,124,57,298,Valid
333,HYD003,112,BATCH_333,07/26/2026,7,100,82,Valid
334,HYD003,172,BATCH_334,01/19/2027,185,43,259,Valid
335,HYD004,33,BATCH_335,11/03/2026,6,101,182,Valid
336,HYD005,145,BATCH_336,09/17/2027,21,165,500,Valid
337,HYD004,35,BATCH_337,01/04/2027,46,13,244,Valid
338,HYD003,98,BATCH_338,09/29/2026,54,117,147,Valid
339,HYD003,87,BATCH_339,05/28/2026,71,193,23,Expiring Soon
340,HYD004,65,BATCH_340,02/24/2028,120,5,660,Valid
341,HYD005,14,BATCH_341,10/12/2026,57,167,160,Valid
342,HYD001,200,BATCH_342,07/09/2026,193,8,65,Valid
343,HYD002,52,BATCH_343,02/20/2027,159,40,291,Valid
344,HYD002,33,BATCH_344,06/26/2027,171,30,417,Valid
345,HYD005,56,BATCH_345,03/02/2026,179,66,-64,Expired
346,HYD003,43,BATCH_346,07/02/2027,199,42,423,Valid
347,HYD003,28,BATCH_347,03/25/2026,79,148,-41,Expired
348,HYD004,102,BATCH_348,01/20/2027,19,152,260,Valid
349,HYD002,27,BATCH_349,09/17/2027,175,154,500,Valid
350,HYD001,145,BATCH_350,01/10/2027,88,137,250,Valid
351,HYD004,170,BATCH_351,04/13/2028,17,130,709,Valid
352,HYD003,4,BATCH_352,11/16/2027,125,28,560,Valid
353,HYD004,93,BATCH_353,10/15/2026,181,40,163,Valid
354,HYD004,46,BATCH_354,05/29/2026,166,70,24,Expiring Soon
355,HYD005,138,BATCH_355,01/18/2028,119,112,623,Valid
356,HYD005,69,BATCH_356,02/12/2026,62,23,-82,Expired
357,HYD003,116,BATCH_357,06/18/2026,192,119,44,Valid
358,HYD005,157,BATCH_358,04/09/2027,86,8,339,Valid
359,HYD004,84,BATCH_359,02/27/2026,124,55,-67,Expired
360,HYD003,67,BATCH_360,11/04/2027,71,153,548,Valid
361,HYD003,143,BATCH_361,11/24/2026,132,49,203,Valid
362,HYD001,62,BATCH_362,03/24/2028,125,143,689,Valid
363,HYD002,177,BATCH_363,01/20/2027,165,183,260,Valid
364,HYD004,115,BATCH_364,07/14/2027,23,76,435,Valid
365,HYD002,104,BATCH_365,02/16/2028,78,170,652,Valid
366,HYD005,95,BATCH_366,08/24/2027,141,136,476,Valid
367,HYD003,109,BATCH_367,04/07/2026,90,180,-28,Expired
368,HYD004,70,BATCH_368,02/08/2027,64,60,279,Valid
369,HYD001,185,BATCH_369,08/13/2026,80,31,100,Valid
370,HYD005,196,BATCH_370,10/30/2027,49,56,543,Valid
371,HYD004,71,BATCH_371,03/18/2027,152,73,317,Valid
372,HYD001,50,BATCH_372,01/03/2028,58,93,608,Valid
373,HYD002,78,BATCH_373,09/19/2027,181,137,502,Valid
374,HYD002,71,BATCH_374,12/26/2026,13,142,235,Valid
375,HYD003,179,BATCH_375,07/26/2027,163,193,447,Valid
376,HYD004,27,BATCH_376,12/02/2027,146,73,576,Valid
377,HYD004,123,BATCH_377,09/17/2027,87,48,500,Valid
378,HYD001,65,BATCH_378,02/16/2028,29,17,652,Valid
379,HYD004,126,BATCH_379,09/03/2027,147,162,486,Valid
380,HYD001,39,BATCH_380,05/07/2026,144,78,2,Expiring Soon
381,HYD001,64,BATCH_381,11/05/2027,142,196,549,Valid
382,HYD004,156,BATCH_382,11/09/2026,198,134,188,Valid
383,HYD004,116,BATCH_383,11/16/2027,76,151,560,Valid
384,HYD004,79,BATCH_384,01/27/2027,156,190,267,Valid
385,HYD001,196,BATCH_385,03/01/2028,160,55,666,Valid
386,HYD003,170,BATCH_386,11/29/2026,40,62,208,Valid
387,HYD002,142,BATCH_387,02/27/2027,40,1,298,Valid
388,HYD004,116,BATCH_388,04/11/2026,74,9,-24,Expired
389,HYD002,74,BATCH_389,04/20/2027,179,117,350,Valid
390,HYD001,176,BATCH_390,05/03/2027,67,161,363,Valid
391,HYD005,170,BATCH_391,03/25/2027,108,30,324,Valid
392,HYD005,58,BATCH_392,10/29/2026,68,37,177,Valid
393,HYD001,16,BATCH_393,02/15/2026,78,153,-79,Expired
394,HYD005,74,BATCH_394,07/18/2027,31,120,439,Valid
395,HYD003,180,BATCH_395,07/29/2026,69,129,85,Valid
396,HYD005,127,BATCH_396,10/09/2026,20,154,157,Valid
397,HYD001,111,BATCH_397,04/28/2028,154,65,724,Valid
398,HYD001,24,BATCH_398,12/07/2026,172,148,216,Valid
399,HYD005,6,BATCH_399,09/15/2026,147,11,133,Valid
400,HYD002,121,BATCH_400,04/06/2027,166,114,336,Valid
401,HYD003,47,BATCH_401,07/05/2026,162,126,61,Valid
402,HYD001,121,BATCH_402,03/19/2027,104,86,318,Valid
403,HYD003,172,BATCH_403,09/12/2026,41,85,130,Valid
404,HYD004,178,BATCH_404,09/02/2027,73,170,485,Valid
405,HYD004,195,BATCH_405,03/10/2026,116,23,-56,Expired
406,HYD003,65,BATCH_406,10/29/2027,29,198,542,Valid
407,HYD004,132,BATCH_407,01/24/2028,168,139,629,Valid
408,HYD004,106,BATCH_408,01/11/2028,48,133,616,Valid
409,HYD003,160,BATCH_409,03/13/2027,160,114,312,Valid
410,HYD001,53,BATCH_410,07/06/2027,140,34,427,Valid
411,HYD003,113,BATCH_411,10/16/2027,31,8,529,Valid
412,HYD005,62,BATCH_412,05/15/2026,79,142,10,Expiring Soon
413,HYD001,142,BATCH_413,03/14/2028,23,58,679,Valid
414,HYD001,119,BATCH_414,02/08/2026,165,40,-86,Expired
415,HYD004,184,BATCH_415,03/19/2026,130,181,-47,Expired
