SupplierID,Supplier_Name,QualityRating,LeadTimeDays
72,Biocon Pharma Dist,4.55,9
73,Lupin Wholesale,4.15,2
74,Pfizer India Supply Chain,4.53,3
75,Glenmark Pharma Dist,3.25,11
76,Aurobindo Medical Supplies,3.76,6
77,Abbott India Medical Supplies,4.43,9
78,Abbott India Medical Supplies,4.43,9
79,Biocon Supply Chain,4.75,2
80,Mankind Pharma Pharma Dist,3.13,8
81,Cipla Wholesale,4.05,5
82,Dr Reddy's Supply Chain,3.92,4
83,Sun Pharma Distribution,4.72,2
84,Glenmark Pharma Dist,3.25,11
85,Sun Pharma Distribution,4.72,2
86,Apollo Pharma Wholesale,2.78,16
87,Novartis India Distribution,4.49,5
88,Alkem Labs Pharma Dist,2.4,15
89,Abbott India Wholesale,4.5,6
90,Sun Pharma Distribution,4.72,2
91,Lupin Distribution,3.95,9
92,Biocon Distribution,4.6,3
93,Biocon Wholesale,4.15,3
94,Biocon Pharma Dist,4.55,9
95,Cadila Health Wholesale,3.4,7
96,Mankind Pharma Supply Chain,3.47,9
97,Pfizer India Pharma Dist,4.74,4
98,Cadila Health Supply Chain,3.33,8
99,Piramal Distribution,4.26,6
100,Torrent Pharma Distribution,4.78,3
101,Lupin Distribution,3.95,9
102,Aurobindo Distribution,3.35,6
103,Abbott India Distribution,4.28,2
104,Glenmark Supply Chain,3.32,15
105,Torrent Pharma Wholesale,4.49,3
106,Piramal Pharma Dist,4.27,4
107,Pfizer India Supply Chain,4.53,3
108,Cadila Health Wholesale,3.4,7
109,Alkem Labs Supply Chain,2.32,17
110,Pfizer India Wholesale,4.92,2
111,Biocon Supply Chain,4.75,2
112,Cadila Health Wholesale,3.4,7
113,Piramal Distribution,4.26,6
114,Lupin Distribution,3.95,9
115,Abbott India Medical Supplies,4.43,9
116,Abbott India Medical Supplies,4.43,9
117,Alkem Labs Pharma Dist,2.4,15
118,Wockhardt Medical Supplies,2.54,14
119,MedPlus Supply Wholesale,3.22,7
120,Novartis India Medical Supplies,4.61,1
121,Apollo Pharma Pharma Dist,3.0,16
122,Pfizer India Wholesale,4.92,2
123,Mankind Pharma Pharma Dist,3.13,8
124,Cipla Medical Supplies,4.07,2
125,Cadila Health Wholesale,3.4,7
126,Novartis India Medical Supplies,4.61,1
127,Apollo Pharma Wholesale,2.78,16
128,Aurobindo Supply Chain,3.61,5
129,Pfizer India Medical Supplies,4.59,1
130,Cipla Medical Supplies,4.07,2
131,Lupin Wholesale,4.15,2
132,Glenmark Pharma Dist,3.25,11
133,Novartis India Distribution,4.49,5
134,Sun Pharma Distribution,4.72,2
135,Cadila Health Wholesale,3.4,7
136,Sun Pharma Wholesale,4.99,4
137,Lupin Distribution,3.95,9
138,Mankind Pharma Wholesale,3.38,12
139,Piramal Medical Supplies,3.9,7
140,Sun Pharma Supply Chain,4.76,6
141,Pfizer India Supply Chain,4.53,3
142,Apollo Pharma Supply Chain,2.52,11
143,Pfizer India Distribution,4.96,1
144,Wockhardt Wholesale,2.81,19
145,Mankind Pharma Wholesale,3.38,12
146,Dr Reddy's Supply Chain,3.92,4
147,Alkem Labs Medical Supplies,2.5,17
148,Apollo Pharma Medical Supplies,2.89,12
149,Apollo Pharma Pharma Dist,3.0,16
150,Apollo Pharma Pharma Dist,3.0,16
151,Biocon Distribution,4.6,3
152,Aurobindo Distribution,3.35,6
153,Zydus Pharma Dist,3.8,7
154,Dr Reddy's Supply Chain,3.92,4
155,Cadila Health Supply Chain,3.33,8
156,Biocon Medical Supplies,4.42,3
157,Apollo Pharma Pharma Dist,3.0,16
158,MedPlus Supply Medical Supplies,3.22,4
159,IPCA Labs Wholesale,2.59,10
160,Zydus Pharma Dist,3.8,7
161,Zydus Wholesale,4.23,9
162,Torrent Pharma Wholesale,4.49,3
163,Dr Reddy's Pharma Dist,3.76,7
164,Dr Reddy's Supply Chain,3.92,4
165,Pfizer India Medical Supplies,4.59,1
166,Alkem Labs Distribution,2.52,19
167,Sun Pharma Supply Chain,4.76,6
168,Apollo Pharma Medical Supplies,2.89,12
169,Abbott India Supply Chain,4.48,4
170,Wockhardt Distribution,2.36,17
171,Abbott India Medical Supplies,4.43,9
172,Cipla Pharma Dist,3.87,3
173,Pfizer India Pharma Dist,4.74,4
174,Torrent Pharma Distribution,4.78,3
175,IPCA Labs Wholesale,2.59,10
176,Abbott India Medical Supplies,4.43,9
177,Apollo Pharma Wholesale,2.78,16
178,Cipla Supply Chain,4.36,1
179,Cadila Health Pharma Dist,3.37,11
180,Glenmark Pharma Dist,3.25,11
181,IPCA Labs Medical Supplies,3.03,13
182,Torrent Pharma Wholesale,4.49,3
183,MedPlus Supply Distribution,3.29,11
184,Abbott India Wholesale,4.5,6
185,Mankind Pharma Distribution,3.68,10
186,MedPlus Supply Distribution,3.29,11
187,Cipla Medical Supplies,4.07,2
188,IPCA Labs Pharma Dist,2.96,14
189,Mankind Pharma Wholesale,3.38,12
190,Biocon Wholesale,4.15,3
191,Novartis India Wholesale,4.38,4
192,Alkem Labs Wholesale,2.57,18
193,Novartis India Wholesale,4.38,4
194,MedPlus Supply Distribution,3.29,11
195,Wockhardt Supply Chain,2.89,14
196,Novartis India Distribution,4.49,5
197,Mankind Pharma Wholesale,3.38,12
198,Mankind Pharma Pharma Dist,3.13,8
199,Biocon Supply Chain,4.75,2
200,Novartis India Distribution,4.49,5
201,MedPlus Supply Supply Chain,3.19,11
202,Dr Reddy's Supply Chain,3.92,4
203,Aurobindo Medical Supplies,3.76,6
204,Dr Reddy's Pharma Dist,3.76,7
205,Mankind Pharma Pharma Dist,3.13,8
206,Abbott India Wholesale,4.5,6
207,Novartis India Wholesale,4.38,4
208,Torrent Pharma Medical Supplies,4.78,5
209,Lupin Supply Chain,4.1,3
210,Biocon Supply Chain,4.75,2
211,Wockhardt Wholesale,2.81,19
212,Abbott India Wholesale,4.5,6
213,Abbott India Distribution,4.28,2
214,Dr Reddy's Pharma Dist,3.76,7
215,Glenmark Wholesale,3.29,8
216,Lupin Wholesale,4.15,2
217,Alkem Labs Wholesale,2.57,18
218,Novartis India Medical Supplies,4.61,1
219,Dr Reddy's Supply Chain,3.92,4
220,Biocon Distribution,4.6,3
221,Lupin Wholesale,4.15,2
222,Piramal Distribution,4.26,6
223,Cipla Wholesale,4.05,5
224,IPCA Labs Distribution,2.96,15
225,Torrent Pharma Pharma Dist,4.96,5
226,Piramal Pharma Dist,4.27,4
227,Pfizer India Medical Supplies,4.59,1
228,Aurobindo Supply Chain,3.61,5
229,Wockhardt Pharma Dist,2.84,16
230,Lupin Distribution,3.95,9
231,Cadila Health Wholesale,3.4,7
232,Novartis India Wholesale,4.38,4
233,Dr Reddy's Supply Chain,3.92,4
234,Mankind Pharma Medical Supplies,3.59,6
235,Aurobindo Supply Chain,3.61,5
236,Wockhardt Medical Supplies,2.54,14
237,Novartis India Medical Supplies,4.61,1
238,Aurobindo Pharma Dist,3.66,7
239,Mankind Pharma Pharma Dist,3.13,8
240,Lupin Distribution,3.95,9
241,Glenmark Supply Chain,3.32,15
242,MedPlus Supply Wholesale,3.22,7
243,Aurobindo Pharma Dist,3.66,7
244,Zydus Supply Chain,4.37,7
245,Glenmark Pharma Dist,3.25,11
246,MedPlus Supply Wholesale,3.22,7
247,Dr Reddy's Wholesale,3.61,7
248,Pfizer India Medical Supplies,4.59,1
249,Sun Pharma Medical Supplies,4.48,4
250,Apollo Pharma Medical Supplies,2.89,12
251,Abbott India Supply Chain,4.48,4
252,Pfizer India Pharma Dist,4.74,4
253,IPCA Labs Medical Supplies,3.03,13
254,Lupin Pharma Dist,4.31,3
255,Piramal Distribution,4.26,6
256,Cipla Wholesale,4.05,5
257,IPCA Labs Wholesale,2.59,10
258,Glenmark Pharma Dist,3.25,11
259,Lupin Supply Chain,4.1,3
260,Cipla Supply Chain,4.36,1
261,Alkem Labs Distribution,2.52,19
262,Dr Reddy's Pharma Dist,3.76,7
263,MedPlus Supply Medical Supplies,3.22,4
264,Zydus Supply Chain,4.37,7
265,Cipla Wholesale,4.05,5
266,Alkem Labs Medical Supplies,2.5,17
267,Torrent Pharma Supply Chain,4.53,5
268,Cadila Health Distribution,3.21,8
269,Sun Pharma Medical Supplies,4.48,4
270,Torrent Pharma Wholesale,4.49,3
271,MedPlus Supply Supply Chain,3.19,11
272,MedPlus Supply Pharma Dist,2.55,9
273,Wockhardt Pharma Dist,2.84,16
274,Cipla Pharma Dist,3.87,3
275,Biocon Medical Supplies,4.42,3
276,Abbott India Distribution,4.28,2
277,Lupin Supply Chain,4.1,3
278,IPCA Labs Distribution,2.96,15
279,Abbott India Wholesale,4.5,6
280,Zydus Medical Supplies,3.87,10
281,Sun Pharma Wholesale,4.99,4
282,MedPlus Supply Distribution,3.29,11
283,Cadila Health Medical Supplies,3.8,5
284,Apollo Pharma Distribution,2.68,13
285,Lupin Wholesale,4.15,2
286,Biocon Distribution,4.6,3
287,Aurobindo Wholesale,4.17,7
288,MedPlus Supply Wholesale,3.22,7
289,Pfizer India Distribution,4.96,1
290,IPCA Labs Wholesale,2.59,10
291,Abbott India Medical Supplies,4.43,9
292,Lupin Wholesale,4.15,2
293,MedPlus Supply Wholesale,3.22,7
294,Cadila Health Supply Chain,3.33,8
295,Zydus Medical Supplies,3.87,10
296,Dr Reddy's Pharma Dist,3.76,7
297,Pfizer India Supply Chain,4.53,3
298,Glenmark Pharma Dist,3.25,11
299,Lupin Medical Supplies,3.77,6
300,Pfizer India Supply Chain,4.53,3
301,IPCA Labs Supply Chain,2.5,13
302,Biocon Distribution,4.6,3
303,MedPlus Supply Wholesale,3.22,7
304,Sun Pharma Distribution,4.72,2
305,Sun Pharma Pharma Dist,4.54,2
306,Piramal Supply Chain,4.03,6
307,Pfizer India Supply Chain,4.53,3
308,Biocon Supply Chain,4.75,2
309,Biocon Pharma Dist,4.55,9
310,Mankind Pharma Medical Supplies,3.59,6
311,Glenmark Distribution,2.82,10
312,Apollo Pharma Pharma Dist,3.0,16
313,MedPlus Supply Pharma Dist,2.55,9
314,Cipla Distribution,4.18,4
315,Glenmark Pharma Dist,3.25,11
316,Zydus Wholesale,4.23,9
317,Zydus Medical Supplies,3.87,10
318,Apollo Pharma Supply Chain,2.52,11
319,Zydus Medical Supplies,3.87,10
320,Biocon Distribution,4.6,3
321,Alkem Labs Supply Chain,2.32,17
322,Mankind Pharma Distribution,3.68,10
323,Piramal Medical Supplies,3.9,7
324,Wockhardt Medical Supplies,2.54,14
325,IPCA Labs Medical Supplies,3.03,13
326,MedPlus Supply Distribution,3.29,11
327,Novartis India Wholesale,4.38,4
328,Lupin Wholesale,4.15,2
329,Lupin Medical Supplies,3.77,6
330,Glenmark Supply Chain,3.32,15
331,Lupin Pharma Dist,4.31,3
332,Alkem Labs Supply Chain,2.32,17
333,Alkem Labs Wholesale,2.57,18
334,Dr Reddy's Wholesale,3.61,7
335,Dr Reddy's Medical Supplies,3.75,6
336,Apollo Pharma Distribution,2.68,13
337,Sun Pharma Distribution,4.72,2
338,Aurobindo Wholesale,4.17,7
339,Sun Pharma Pharma Dist,4.54,2
340,Lupin Distribution,3.95,9
341,Abbott India Supply Chain,4.48,4
342,Glenmark Supply Chain,3.32,15
343,IPCA Labs Medical Supplies,3.03,13
344,Dr Reddy's Supply Chain,3.92,4
345,IPCA Labs Wholesale,2.59,10
346,Novartis India Distribution,4.49,5
347,Lupin Distribution,3.95,9
348,IPCA Labs Supply Chain,2.5,13
349,Piramal Distribution,4.26,6
350,Mankind Pharma Wholesale,3.38,12
351,Torrent Pharma Pharma Dist,4.96,5
352,Cipla Pharma Dist,3.87,3
353,Pfizer India Supply Chain,4.53,3
354,MedPlus Supply Distribution,3.29,11
355,Abbott India Medical Supplies,4.43,9
356,Cipla Pharma Dist,3.87,3
357,Glenmark Pharma Dist,3.25,11
358,Glenmark Medical Supplies,3.59,12
359,Alkem Labs Medical Supplies,2.5,17
360,Torrent Pharma Pharma Dist,4.96,5
361,Pfizer India Supply Chain,4.53,3
362,Zydus Distribution,3.95,9
363,Novartis India Medical Supplies,4.61,1
364,Biocon Wholesale,4.15,3
365,Torrent Pharma Supply Chain,4.53,5
366,Biocon Pharma Dist,4.55,9
367,Lupin Supply Chain,4.1,3
368,IPCA Labs Pharma Dist,2.96,14
369,Apollo Pharma Pharma Dist,3.0,16
370,Wockhardt Wholesale,2.81,19
371,Piramal Supply Chain,4.03,6
372,Pfizer India Supply Chain,4.53,3
373,Torrent Pharma Wholesale,4.49,3
374,Dr Reddy's Pharma Dist,3.76,7
375,Alkem Labs Distribution,2.52,19
376,Apollo Pharma Medical Supplies,2.89,12
377,Cipla Distribution,4.18,4
378,Wockhardt Supply Chain,2.89,14
379,Cadila Health Wholesale,3.4,7
380,Alkem Labs Supply Chain,2.32,17
381,Mankind Pharma Medical Supplies,3.59,6
382,Cadila Health Distribution,3.21,8
383,Cipla Medical Supplies,4.07,2
384,Glenmark Distribution,2.82,10
385,Torrent Pharma Medical Supplies,4.78,5
386,Sun Pharma Medical Supplies,4.48,4
387,Apollo Pharma Pharma Dist,3.0,16
388,Biocon Medical Supplies,4.42,3
389,Lupin Pharma Dist,4.31,3
390,Novartis India Distribution,4.49,5
391,Alkem Labs Wholesale,2.57,18
392,Dr Reddy's Distribution,4.27,6
393,Wockhardt Medical Supplies,2.54,14
394,Torrent Pharma Distribution,4.78,3
395,Biocon Pharma Dist,4.55,9
396,Abbott India Wholesale,4.5,6
397,Abbott India Distribution,4.28,2
398,Glenmark Wholesale,3.29,8
399,Torrent Pharma Supply Chain,4.53,5
400,Alkem Labs Wholesale,2.57,18
401,Piramal Supply Chain,4.03,6
402,Apollo Pharma Pharma Dist,3.0,16
403,Novartis India Pharma Dist,4.64,4
404,Novartis India Wholesale,4.38,4
405,Sun Pharma Distribution,4.72,2
406,Mankind Pharma Distribution,3.68,10
407,Aurobindo Medical Supplies,3.76,6
408,Cipla Distribution,4.18,4
409,Pfizer India Supply Chain,4.53,3
410,Wockhardt Distribution,2.36,17
411,Cadila Health Wholesale,3.4,7
412,Pfizer India Medical Supplies,4.59,1
413,Sun Pharma Medical Supplies,4.48,4
414,Sun Pharma Pharma Dist,4.54,2
415,Aurobindo Pharma Dist,3.66,7
416,Mankind Pharma Pharma Dist,3.13,8
417,Aurobindo Pharma Dist,3.66,7
418,MedPlus Supply Supply Chain,3.19,11
419,IPCA Labs Wholesale,2.59,10
420,IPCA Labs Wholesale,2.59,10
421,Wockhardt Pharma Dist,2.84,16
422,Lupin Supply Chain,4.1,3
423,Wockhardt Medical Supplies,2.54,14
424,Piramal Pharma Dist,4.27,4
425,IPCA Labs Pharma Dist,2.96,14
426,Sun Pharma Distribution,4.72,2
427,Aurobindo Distribution,3.35,6
428,Zydus Medical Supplies,3.87,10
429,Piramal Supply Chain,4.03,6
430,Sun Pharma Wholesale,4.99,4
431,Biocon Supply Chain,4.75,2
432,Biocon Medical Supplies,4.42,3
433,Apollo Pharma Supply Chain,2.52,11
434,Apollo Pharma Wholesale,2.78,16
435,Pfizer India Supply Chain,4.53,3
436,Pfizer India Medical Supplies,4.59,1
437,IPCA Labs Supply Chain,2.5,13
438,MedPlus Supply Wholesale,3.22,7
439,Torrent Pharma Distribution,4.78,3
440,Apollo Pharma Wholesale,2.78,16
441,Aurobindo Wholesale,4.17,7
442,Sun Pharma Pharma Dist,4.54,2
443,Alkem Labs Medical Supplies,2.5,17
444,Dr Reddy's Supply Chain,3.92,4
445,Biocon Medical Supplies,4.42,3
446,Aurobindo Wholesale,4.17,7
447,Sun Pharma Medical Supplies,4.48,4
448,Pfizer India Wholesale,4.92,2
449,Pfizer India Wholesale,4.92,2
450,Glenmark Supply Chain,3.32,15
451,Lupin Supply Chain,4.1,3
452,Alkem Labs Supply Chain,2.32,17
453,Mankind Pharma Pharma Dist,3.13,8
454,Piramal Wholesale,4.67,6
455,Wockhardt Medical Supplies,2.54,14
456,Dr Reddy's Wholesale,3.61,7
457,Cadila Health Distribution,3.21,8
458,IPCA Labs Medical Supplies,3.03,13
459,Aurobindo Distribution,3.35,6
460,MedPlus Supply Pharma Dist,2.55,9
461,Biocon Wholesale,4.15,3
462,Novartis India Pharma Dist,4.64,4
463,MedPlus Supply Pharma Dist,2.55,9
464,Alkem Labs Medical Supplies,2.5,17
465,Novartis India Pharma Dist,4.64,4
466,Wockhardt Supply Chain,2.89,14
467,Torrent Pharma Medical Supplies,4.78,5
468,Piramal Wholesale,4.67,6
469,Pfizer India Distribution,4.96,1
470,Aurobindo Distribution,3.35,6
471,Biocon Pharma Dist,4.55,9
472,Novartis India Pharma Dist,4.64,4
473,Aurobindo Supply Chain,3.61,5
474,MedPlus Supply Pharma Dist,2.55,9
475,Novartis India Supply Chain,4.65,1
476,Abbott India Pharma Dist,4.57,5
477,Piramal Wholesale,4.67,6
478,Torrent Pharma Medical Supplies,4.78,5
479,Aurobindo Distribution,3.35,6
480,Wockhardt Distribution,2.36,17
481,Sun Pharma Medical Supplies,4.48,4
482,Torrent Pharma Wholesale,4.49,3
483,Sun Pharma Wholesale,4.99,4
484,Cipla Medical Supplies,4.07,2
485,Glenmark Distribution,2.82,10
486,Lupin Supply Chain,4.1,3
487,IPCA Labs Wholesale,2.59,10
488,Lupin Supply Chain,4.1,3
489,Wockhardt Wholesale,2.81,19
490,Abbott India Pharma Dist,4.57,5
491,Cadila Health Wholesale,3.4,7
492,Apollo Pharma Wholesale,2.78,16
493,Cipla Distribution,4.18,4
494,Aurobindo Pharma Dist,3.66,7
495,Cadila Health Distribution,3.21,8
496,Piramal Supply Chain,4.03,6
497,Zydus Pharma Dist,3.8,7
498,IPCA Labs Medical Supplies,3.03,13
499,Mankind Pharma Pharma Dist,3.13,8
500,Aurobindo Medical Supplies,3.76,6
501,Piramal Medical Supplies,3.9,7
502,Pfizer India Medical Supplies,4.59,1
503,IPCA Labs Medical Supplies,3.03,13
504,Lupin Distribution,3.95,9
505,Cipla Pharma Dist,3.87,3
506,Sun Pharma Wholesale,4.99,4
507,Sun Pharma Wholesale,4.99,4
508,Glenmark Distribution,2.82,10
509,Mankind Pharma Medical Supplies,3.59,6
510,Cadila Health Supply Chain,3.33,8
511,Novartis India Distribution,4.49,5
512,Cadila Health Supply Chain,3.33,8
513,Torrent Pharma Supply Chain,4.53,5
514,Pfizer India Pharma Dist,4.74,4
515,Apollo Pharma Supply Chain,2.52,11
516,Alkem Labs Medical Supplies,2.5,17
517,Biocon Distribution,4.6,3
518,Aurobindo Distribution,3.35,6
519,Lupin Wholesale,4.15,2
520,Mankind Pharma Distribution,3.68,10
521,Sun Pharma Medical Supplies,4.48,4
522,Wockhardt Supply Chain,2.89,14
523,Pfizer India Supply Chain,4.53,3
524,Zydus Supply Chain,4.37,7
525,Biocon Distribution,4.6,3
526,Mankind Pharma Supply Chain,3.47,9
527,Mankind Pharma Distribution,3.68,10
528,Cadila Health Medical Supplies,3.8,5
529,Sun Pharma Distribution,4.72,2
530,Sun Pharma Medical Supplies,4.48,4
531,Dr Reddy's Supply Chain,3.92,4
532,Abbott India Medical Supplies,4.43,9
533,Alkem Labs Distribution,2.52,19
534,Apollo Pharma Wholesale,2.78,16
535,Alkem Labs Wholesale,2.57,18
536,Piramal Pharma Dist,4.27,4
537,Abbott India Medical Supplies,4.43,9
538,Zydus Medical Supplies,3.87,10
539,Torrent Pharma Supply Chain,4.53,5
540,IPCA Labs Pharma Dist,2.96,14
541,Torrent Pharma Distribution,4.78,3
542,Alkem Labs Supply Chain,2.32,17
543,Abbott India Distribution,4.28,2
544,Glenmark Distribution,2.82,10
545,Pfizer India Wholesale,4.92,2
546,Biocon Pharma Dist,4.55,9
547,Alkem Labs Pharma Dist,2.4,15
548,Biocon Distribution,4.6,3
549,Wockhardt Distribution,2.36,17
550,Torrent Pharma Distribution,4.78,3
551,MedPlus Supply Distribution,3.29,11
552,Sun Pharma Distribution,4.72,2
553,Cipla Pharma Dist,3.87,3
554,Novartis India Wholesale,4.38,4
555,Aurobindo Supply Chain,3.61,5
556,Piramal Wholesale,4.67,6
557,Alkem Labs Supply Chain,2.32,17
558,Glenmark Distribution,2.82,10
559,Abbott India Distribution,4.28,2
560,Dr Reddy's Wholesale,3.61,7
561,Abbott India Medical Supplies,4.43,9
562,Torrent Pharma Pharma Dist,4.96,5
563,Abbott India Supply Chain,4.48,4
564,Piramal Pharma Dist,4.27,4
565,Abbott India Pharma Dist,4.57,5
566,Sun Pharma Supply Chain,4.76,6
567,Torrent Pharma Distribution,4.78,3
568,Dr Reddy's Wholesale,3.61,7
569,Glenmark Wholesale,3.29,8
570,Glenmark Distribution,2.82,10
571,Cipla Supply Chain,4.36,1
572,Sun Pharma Pharma Dist,4.54,2
573,Mankind Pharma Pharma Dist,3.13,8
574,Lupin Pharma Dist,4.31,3
575,MedPlus Supply Pharma Dist,2.55,9
576,Novartis India Wholesale,4.38,4
577,Dr Reddy's Medical Supplies,3.75,6
578,Biocon Wholesale,4.15,3
579,Abbott India Wholesale,4.5,6
580,Torrent Pharma Pharma Dist,4.96,5
581,IPCA Labs Wholesale,2.59,10
582,MedPlus Supply Wholesale,3.22,7
583,Glenmark Supply Chain,3.32,15
584,Lupin Supply Chain,4.1,3
585,Abbott India Distribution,4.28,2
586,Abbott India Medical Supplies,4.43,9
587,Zydus Wholesale,4.23,9
588,Mankind Pharma Medical Supplies,3.59,6
589,Lupin Supply Chain,4.1,3
590,Dr Reddy's Pharma Dist,3.76,7
591,Wockhardt Wholesale,2.81,19
592,Mankind Pharma Medical Supplies,3.59,6
593,Cadila Health Pharma Dist,3.37,11
594,Cipla Medical Supplies,4.07,2
595,Cadila Health Supply Chain,3.33,8
596,Lupin Pharma Dist,4.31,3
597,Novartis India Medical Supplies,4.61,1
598,Abbott India Distribution,4.28,2
599,Apollo Pharma Wholesale,2.78,16
600,Cipla Pharma Dist,3.87,3
601,MedPlus Supply Medical Supplies,3.22,4
602,Wockhardt Pharma Dist,2.84,16
603,Zydus Supply Chain,4.37,7
604,Zydus Distribution,3.95,9
605,Cipla Distribution,4.18,4
606,Aurobindo Supply Chain,3.61,5
607,Torrent Pharma Distribution,4.78,3
608,Biocon Wholesale,4.15,3
609,Novartis India Pharma Dist,4.64,4
610,Glenmark Wholesale,3.29,8
611,Glenmark Distribution,2.82,10
612,Glenmark Wholesale,3.29,8
613,Cadila Health Medical Supplies,3.8,5
614,Apollo Pharma Pharma Dist,3.0,16
615,Aurobindo Pharma Dist,3.66,7
616,Mankind Pharma Supply Chain,3.47,9
617,Mankind Pharma Distribution,3.68,10
618,Cadila Health Medical Supplies,3.8,5
619,Cadila Health Medical Supplies,3.8,5
620,Sun Pharma Wholesale,4.99,4
621,Pfizer India Wholesale,4.92,2
622,IPCA Labs Medical Supplies,3.03,13
623,Biocon Supply Chain,4.75,2
624,Biocon Supply Chain,4.75,2
625,Pfizer India Wholesale,4.92,2
626,Pfizer India Medical Supplies,4.59,1
627,Mankind Pharma Wholesale,3.38,12
628,Aurobindo Medical Supplies,3.76,6
629,Cipla Wholesale,4.05,5
630,Sun Pharma Pharma Dist,4.54,2
631,Apollo Pharma Distribution,2.68,13
632,MedPlus Supply Medical Supplies,3.22,4
633,MedPlus Supply Distribution,3.29,11
634,Mankind Pharma Wholesale,3.38,12
635,Pfizer India Medical Supplies,4.59,1
636,Cipla Distribution,4.18,4
637,Cadila Health Distribution,3.21,8
638,Wockhardt Wholesale,2.81,19
639,Pfizer India Supply Chain,4.53,3
640,IPCA Labs Medical Supplies,3.03,13
641,Sun Pharma Wholesale,4.99,4
642,Piramal Wholesale,4.67,6
643,Cipla Distribution,4.18,4
644,Pfizer India Wholesale,4.92,2
645,Aurobindo Distribution,3.35,6
646,Biocon Supply Chain,4.75,2
647,Glenmark Supply Chain,3.32,15
648,Cadila Health Distribution,3.21,8
649,Piramal Wholesale,4.67,6
650,IPCA Labs Medical Supplies,3.03,13
651,Cipla Pharma Dist,3.87,3
652,Torrent Pharma Distribution,4.78,3
653,Aurobindo Distribution,3.35,6
654,Zydus Medical Supplies,3.87,10
655,Zydus Wholesale,4.23,9
656,Sun Pharma Medical Supplies,4.48,4
657,Cadila Health Medical Supplies,3.8,5
658,Torrent Pharma Distribution,4.78,3
659,Cadila Health Pharma Dist,3.37,11
660,Lupin Wholesale,4.15,2
661,Wockhardt Wholesale,2.81,19
662,Novartis India Supply Chain,4.65,1
663,Lupin Medical Supplies,3.77,6
664,Dr Reddy's Supply Chain,3.92,4
665,Alkem Labs Supply Chain,2.32,17
666,Sun Pharma Distribution,4.72,2
667,Abbott India Medical Supplies,4.43,9
668,Dr Reddy's Wholesale,3.61,7
669,Biocon Wholesale,4.15,3
670,MedPlus Supply Pharma Dist,2.55,9
671,MedPlus Supply Supply Chain,3.19,11
672,Dr Reddy's Distribution,4.27,6
